9 0.44059 0.945183
49 -0.146135 1.85584
89 0.184654 0.949623
129 -0.705707 0.922156
169 0.527955 1.1139
209 -2.53668 1.14907
249 0.274944 1.03087
289 0.398354 1.05654
329 0.508369 1.0825
369 0.44428 0.981407
409 0.417589 1.05354
449 -0.227644 0.978968
489 1.372 1.0365
529 0.452566 1.03487
569 0.690801 1.01759
609 1.46999 1.0172
649 -0.0397636 0.990093
689 -1.34494 0.955304
729 0.828545 0.951612
769 0.691185 0.896368
809 0 0
849 0 0
889 0 0
929 -0.420547 0.942838
969 0.424423 1.01605
1009 0.351417 0.946719
1049 -0.420905 0.963025
1089 -0.141932 0.940446
1129 -0.507325 0.788713
1169 -0.228423 0.797311
1209 -0.738054 0.844595
1249 0.147241 0.770863
1289 0.926322 0.909063
1329 0.660293 0.892108
1369 1.08069 0.941275
1409 1.17412 0.893394
1449 -0.940247 0.959693
1489 0.805581 0.969323
1529 -0.795974 1.00227
1569 0 0
1609 0.171177 0.943809
1649 0.859257 0.955625
1689 -0.300861 0.951288
1729 0.779188 0.937632
1769 1.18205 0.970168
1809 0.194277 0.915886
1849 0.937596 0.947826
1889 1.1973 0.961197
