0	0	-257.9416	3.8272
0	1	-243.78922	3.65979
0	2	-303.80415	3.6707
0	3	-151.48867	3.73144
0	4	-257.47939	3.63327
0	5	-279.81117	3.84759
0	6	-271.6378	3.50505
0	7	-254.46715	3.70599
1	0	-187.56343	3.40747
1	1	-233.28414	3.43667
1	2	-240.42195	3.55335
1	3	-145.84615	3.45209
1	4	-217.887	3.79507
1	5	-229.4706	3.75134
1	6	-217.05778	3.69494
1	7	-198.29936	3.53549
2	0	-1	0
2	1	-267.5729	3.47142
2	2	-229.73123	3.45506
2	3	-219.10186	3.55335
2	4	-346.04117	3.52004
2	5	-307.04069	3.51846
2	6	-226.04419	3.23464
2	7	-322.40575	3.54947
3	0	-237.57347	3.59866
3	1	-235.26846	3.27067
3	2	-317.15509	3.88678
3	3	-229.84061	3.76272
3	4	-252.88253	3.97958
3	5	-1	0
3	6	-263.28723	3.52056
3	7	-209.0859	3.60913
4	0	-319.52439	3.55932
4	1	-185.2117	3.35436
4	2	-221.88721	3.32836
4	3	-188.54455	3.42207
4	4	-299.23036	3.63383
4	5	-279.85147	3.84116
4	6	-282.89993	3.87711
4	7	-277.78547	3.42357
5	0	-321.58155	3.79783
5	1	-367.84483	3.85672
5	2	-404.05334	3.78
5	3	-233.1582	3.37375
5	4	-288.22646	3.6765
5	5	-245.93322	3.64105
5	6	-332.90097	3.39453
5	7	-309.36695	3.53987
6	0	-110.74815	3.56375
6	1	-88.99363	3.83171
6	2	-103.36065	3.69581
6	3	-206.99006	3.87583
6	4	-134.92277	3.53006
6	5	-138.82326	3.41247
6	6	-206.33604	3.73862
6	7	-116.00602	3.81396
7	0	-222.49528	3.98555
7	1	-92.70203	3.71
7	2	-266.82819	3.83645
7	3	-211.86268	3.75446
7	4	-136.07706	3.73573
7	5	-208.21602	4.14952
7	6	-1	0
7	7	-2.41991	3.88638
