0	0	0.99194
0	1	0.954366
0	2	0.919474
0	3	0.945394
0	4	1
0	5	1
0	6	1
0	7	1
0	8	4.909933
0	9	4.992079
0	10	5.496380
0	11	5.0791
1	0	0.906042
1	1	1.05466
1	2	1.00754
1	3	0.890413
1	4	1
1	5	1
1	6	1
1	7	1
1	8	4.89234
1	9	5.12156
1	10	4.88866
1	11	5.11987
2	0	0.965078
2	1	0.925607
2	2	0.873623
2	3	0.959812
2	4	1
2	5	1
2	6	1
2	7	1
2	8	4.95995
2	9	5.101765
2	10	4.81855
2	11	5.12704
3	0	0.929529
3	1	0.969448
3	2	0.908469
3	3	0.973946
3	4	1
3	5	1
3	6	1
3	7	1
3	8	5.031342
3	9	5.047606
3	10	5.059742
3	11	5.077117
4	0	0.96774
4	1	0.953635
4	2	0.961042
4	3	0.977135
4	4	1
4	5	1
4	6	1
4	7	1
4	8	5.11085
4	9	4.89038
4	10	4.92191
4	11	5.04778
5	0	0.921621
5	1	1.15042
5	2	1.05886
5	3	1.0678
5	4	1
5	5	1
5	6	1
5	7	1
5	8	5.03649
5	9	4.95270
5	10	4.99269
5	11	5.04712
6	0	1.03061
6	1	0.969133
6	2	0.959122
6	3	0.993175
6	4	1
6	5	1
6	6	1
6	7	1
6	8	5.029813
6	9	4.910106
6	10	4.866081
6	11	5.096928
7	0	0.95091
7	1	1.00846
7	2	0.994957
7	3	0.980063
7	4	1
7	5	1
7	6	1
7	7	1
7	8	5.033090
7	9	5.002516
7	10	4.880148
7	11	7.064914
8	0	0.920372
8	1	0.886905
8	2	0.94249
8	3	0.944914
8	4	1
8	5	1
8	6	1
8	7	1
8	8	4.937353
8	9	4.919056
8	10	5.018858
8	11	5.000107
9	0	0.992392
9	1	0.997158
9	2	0.983092
9	3	0.974104
9	4	1
9	5	1
9	6	1
9	7	1
9	8	4.838410
9	9	4.604199
9	10	4.92974
9	11	5.034192
10	0	0.93117
10	1	0.951843
10	2	0.936204
10	3	0.931137
10	4	1
10	5	1
10	6	1
10	7	1
10	8	4.86614
10	9	4.86603
10	10	4.88971
10	11	5.1294
11	0	1
11	1	1
11	2	1
11	3	1
11	4	1
11	5	1
11	6	1
11	7	1
11	8	0
11	9	0
11	10	0
11	11	0
